Link,Month-Year,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,2025/02,02/08/2025 17:50,Brownsville,TX,USA,Changing,Seen a UFO right next to the moon at dusk still daylight out.,Y,,
Open,2025/02,02/08/2025 17:35,Glendale,AZ,USA,Changing,Long black cylinder came up from the hills. It was spinning and dimming out and then getting black. It was big with no wind,,,
Open,2025/02,02/08/2025 16:20,Cape Town,Western Cape,South Africa,Triangle,Flashing star like light in day time,,,
Open,2025/02,02/08/2025 13:25,Findlay,OH,USA,Circle,Round silver object sitting in a cloud,,,
Open,2025/02,02/08/2025 04:15,Boksburg,Gauteng,South Africa,Orb,Bright orange/white orb flying steadily across the horizon in a north-easterly direction until disappearing over the horizon,Y,ISS,
Open,2025/02,02/07/2025 23:48,New York,NY,USA,Disk,"I was heading west on 495, craft was headed north then swooped back around and headed back south",Y,,
Open,2025/02,02/07/2025 22:15,Joubertina,Eastern Cape,South Africa,Light,I saw multiple bright objects flying in different directions at different angles and different speed. Two evenings in a row.,,,
Open,2025/02,02/07/2025 22:00,Nelson,Nelson,New Zealand,Circle,Silent low flying UAP we have 2 videos,Y,,
Open,2025/02,02/07/2025 21:59,Boksburg,Gauteng,South Africa,Orb,Saw an orb that's clearly not a drone or an airplane. It was moving on a horizontal axis fading away and reappearing.,,,
Open,2025/02,02/07/2025 21:00,Port Orange,FL,USA,Light,When I arrived home the neighbors were watching orbs in sky. Coming east to west.,Y,Chinese Lantern,
Open,2025/02,02/07/2025 20:10,Henderson,NV,USA,Light,"Unusual maneuvers around a passenger airplane 180 high speed turn. Bright red, white and green changing colors",Y,Drone?,
Open !,2025/02,02/07/2025 18:23,West Valley City,UT,USA,Triangle,I just woke up! And I usually see outside my windows when I wake up and I saw this triangular prism shaped craft above the trees,Y,,
Open,2025/02,02/07/2025 17:38,Pittsburgh,PA,USA,Cylinder,Noticed what resembled star. It was light out and not moving. I took a Pic on phone.,Y,,
Open,2025/02,02/07/2025 17:15,Coon Rapids,MN,USA,Disk,Three dark objects moving around below the overcast cloud cover.,,,
Open,2025/02,02/07/2025 12:17,Morval,England,United Kingdom,Sphere,Very fast moving sphere,,,
Open,2025/02,02/07/2025 12:00,Spokane,WA,USA,Other,"Silver spearhead shape craft flying from west to east, vanished.",Y,,
Open,2025/02,02/06/2025 21:25,Ave Maria,FL,USA,Orb,Orb changed direction and speed,,,
Open,2025/02,02/06/2025 20:58,Stockport,IA,USA,Light,3-4 lights circling in the western sky for about 20 minutes,Y,Aircraft?,
,2025/02,,,,,,,,,
Open,2025/01,01/31/2025 23:45,Leicester,England,United Kingdom,Triangle,Felt like time stood still. Appeared to be 3 craft of triangles shaped with blue to red shimmering lights.,,,
Open,2025/01,01/31/2025 20:20,Nokomis,FL,USA,Circle,Multiple objects around Venus over an hour long period,Y,,
Open,2025/01,01/31/2025 17:50,Nacogdoches,TX,USA,Cylinder,"Cylinder object was traveling above tree line, seemed to be drifting and tumbling but in a straight line.",Y,Balloon,
Open,2025/01,01/31/2025 15:51,San Diego,CA,USA,Cigar,A white pillar / Cigar shaped object moving in the sky at a steady pace in a floating motion,Y,Balloon?,
Open,2025/01,01/31/2025 09:40,,CA,USA,Cigar,Enormous cigar-shaped object hovering over Palos Verdes.,Y,Blimp,
Open !,2025/01,01/31/2025 08:31,Taylor Mill,KY,USA,Changing,"noticed a strange black, silent craft",Y,,
Open,2025/01,01/31/2025 02:15,Maumee,OH,USA,Disk,The craft had red lights dotted around the craft and a white strobe light underneath.,Y,,
Open,2025/01,01/30/2025 21:30,Guadalupe,Nuevo León,Mexico,Light,There was a large fixed light on the hill that changed shape to an elongated one and disappeared.,Y,,
Open,2025/01,01/30/2025 20:47,Nederland,TX,USA,Triangle,Saw a bright white light leaving home that was creating a halo and then another bright light appeared after a few minutes,Y,Drone?,
Open,2025/01,01/30/2025 20:32,Westminster,CO,USA,Orb,"The orb was spotted directly West of my location about 20-30 miles in the distance, where it was slowly moving North.",Y,Planet/Star?,
Open,2025/01,01/30/2025 20:10,Holyoke,MA,USA,Orb,Strange shape shifting orb that hovered and flew away,,,
Open,2025/01,01/30/2025 19:42,Duluth,MN,USA,Light,"Witnessed odd light near TV antenna, pursued, light evaded us until we stopped, then it turned back and came at us",Y,Planet/Star,
Open,2025/01,01/30/2025 19:10,Murrells Inlet,SC,USA,Other,Three different types UAP. I have more video. I have never reported before or ever seeing anything like this in all of my 60 years.,Y,Drone?,
Open,2025/01,01/30/2025 18:45,Paterson,NJ,USA,Changing,I saw the unknown craft pass over my house then I waited and grabbed my phone and it circled back over my house again so I recorded it.,Y,Aircraft,
Open,2025/01,01/30/2025 18:35,Smrjene,Ljubljana,Slovenia,Circle,Moving fast & not straight.,Y,Aircraft,
Open,2025/01,01/30/2025 18:25,Bydgoszcz,Kuyavian-Pomeranian Voivodeship,Poland,Orb,"At first I tough it was starlink satellite, but after one minute it slowed down and changed its course.",,,
Open,2025/01,01/30/2025 18:00,Maldon,England,United Kingdom,Orb,Small white / Blue orb moving sporadically through the sky,Y,Drone?,
Open,2025/01,01/30/2025 07:48,Sfântu Gheorghe,Covasna County,Romania,Changing,Above my city a strange hovering shapeshifting object was hovering in one place,Y,,
Open,2025/01,01/29/2025 22:45,,Cozumel,Mexico,Orb,"Drone like Orb, white/blue in colour, moving oddly between the rear and mid port side of the ship.",,,
